site_code,live_code,brand,franchise,city,state,pms,name,brand_page
,,SUPER 8,WYNDHAM,ST LOUIS,IL,SYNXIS,"SUPER 8 BY WYNDHAM FAIRVIEW HEIGHTS - ST. LOUIS, IL",https://www.wyndhamhotels.com/super-8/fairview-heights-illinois/super-8-fairview-heights-st-louis/overview?iata=00093763&cid=PS:lhr1g85en5mn0yt&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs5H2XCSGho7ytW59MJ_zXAxXSLjF_RQyWIb1BRt-Rdvxl_SbaGH8LcaApBqEALw_wcB&gclsrc=aw.ds
IN441,,QUALITY,CHOICE,BROWNSBURG,IN,CHOICEADV,"QUALITY INN & SUITES BROWNSBURG, IN",https://www.choicehotels.com/indiana/brownsburg/quality-inn-hotels/in441
,,SUPER 8,WYNDHAM,BY WYNDHAM ROCHESTER,IN,SYNXIS,"SUPER 8 BY WYNDHAM ROCHESTER, IN",https://www.wyndhamhotels.com/super-8/lees-summit-missouri/super-8-lees-summit/overview?iata=00093763&cid=PS:dx29d3m6mpd1q08&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7_oJxp3kF77kmqHk0W_lnZKegBifYXIBZIpyB_1wxdj_uQ19OoiksaAuXrEALw_wcB&gclsrc=aw.ds
INDCNHX,,HAMPTON,HILTON,DOWNTOWN INDIANAPOLIS,IN,PEP,Hampton Inn Indianapolis Canal IUPUI,https://www.hilton.com/en/hotels/indcnhx-hampton-indianapolis-canal-iupui/
INDIAHW,,HOMEWOOD,HILTON,DOWNTOWN INDIANAPOLIS,IN,PEP,Homewood Suites by Hilton Indianapolis-Downtown,https://www.hilton.com/en/hotels/indiahw-homewood-suites-indianapolis-canal-iupui/
,,AMERICINN,WYNDHAM,INDIANAPOLIS,IN,SYNXIS,"AMERICINN BY WYNDHAM FISHERS INDIANAPOLIS, IN",https://www.wyndhamhotels.com/americinn/fishers-indiana/americinn-hotel-and-suites-fishers-indianapolis/overview
IN372,,COMFORT INN,CHOICE,INDIANAPOLIS,IN,CHOICEADV,"COMFORT INN INDIANAPOLIS, IN",https://www.choicehotels.com/indiana/indianapolis/comfort-inn-hotels/in372
INDWE,,HOLIDAY INN,IHG,INDIANAPOLIS,IN,HOTELKEY,"HOLIDAY INN DOWNTOWN INDIANAPOLIS, IN",https://www.ihg.com/holidayinn/hotels/us/en/indianapolis/indwe/hoteldetail
55068,,SURESTAY PLUS,BEST WESTERN,INDIANAPOLIS,IN,,SureStay Plus Hotel by Best Western Indianapolis Northeast,https://www.bestwestern.com/en_US/book/indianapolis/hotel-rooms/surestay-plus-hotel-by-best-western-indianapolis-northeast/propertyCode.55068.html
INDNBES,,EMBASSY SUITES,HILTON,NOBLESVILLE,IN,PEP,Embassy Suites by Hilton Noblesville Indianapolis Conference Center,https://www.hilton.com/en/hotels/indnbes-embassy-suites-noblesville-indianapolis-conference-center/
INDPLES,,EMBASSY SUITES,HILTON,PLAINFIELD,IN,PEP,Embassy Suites by Hilton Plainfield Indianapolis Airport,https://www.hilton.com/en/hotels/indples-embassy-suites-plainfield-indianapolis-airport/
IN063,,QUALITY,CHOICE,ROCHESTER,IN,CHOICEADV,"QUALITY INN ROCHESTER, IN",https://www.choicehotels.com/indiana/rochester/quality-inn-hotels/in063
KS209,,COMFORT INN,CHOICE,EMPORIA,KS,CHOICEADV,"COMFORT INN & SUITES EMPORIA, KS",https://www.choicehotels.com/kansas/emporia/quality-inn-hotels/ks209
,,LA QUINTA,WYNDHAM,EMPORIA,KS,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM EMPORIA, KS",https://www.wyndhamhotels.com/laquinta/emporia-kansas/la-quinta-emporia/overview
,,DAYS INN,WYNDHAM,HUTCHINSON,KS,SYNXIS,"DAYS INN BY WYNDHAM HUTCHISON, KS",https://www.wyndhamhotels.com/days-inn/hutchinson-kansas/days-inn-and-suites-hutchinson/overview
,,DAYS INN,WYNDHAM,KANSAS CITY,KS,SYNXIS,"DAYS INN BY WYNDHAM KANSAS CITY, KS",https://www.wyndhamhotels.com/days-inn/kansas-city-kansas/days-inn-near-kansas-speedway/overview?iata=00093763&cid=PS:geq7qs0dz316wyl&gclid=CjwKCAiA0KmPBhBqEiwAJqKK4y88t0hrqU8z0KZQuRU4-7gEiKOskRsZmg-mSP8suGwP6lajt4LEhxoCfQEQAvD_BwE&gclsrc=aw.ds
,,DAYS INN,WYNDHAM,KANSAS CITY,KS,SYNXIS,Days Inn by Wyndham near Kansas Speedway,https://www.wyndhamhotels.com/days-inn/kansas-city-kansas/days-inn-near-kansas-speedway/overview?iata=99922675
KS303,,QUALITY,CHOICE,OVERLAND PARK,KS,CHOICEADV,"QUALITY INN OVERLAND PARK, KS",https://www.choicehotels.com/kansas/overland-park/quality-inn-hotels/ks303
8692,,MOTEL 6,G6,SALINA,KS,,MOTEL 6 - SALINA KS,https://www.motel6.com/en/home/motels.8692.html
KS401,,QUALITY,CHOICE,SOUTH WICHITA,KS,CHOICEADV,"QUALITY INN SOUTH WICHITA, KS",https://www.choicehotels.com/kansas/wichita/quality-inn-hotels/ks401
KS118,,COMFORT SUITES,CHOICE,WICHITA,KS,CHOICEADV,"COMFORT SUITES WICHITA, KS",https://www.choicehotels.com/kansas/wichita/comfort-suites-hotels/ks118
,,DAYS INN,WYNDHAM,WICHITA,KS,SYNXIS,"DAYS INN BY WYNDHAM WICHITA, KS",https://www.wyndhamhotels.com/days-inn/wichita-kansas/days-inn-and-suites-wichita/overview?iata=00580881
,,SUPER 8,WYNDHAM,WICHITA,KS,SYNXIS,"SUPER 8 BY WYNDHAM WICHITA SOUTH, KS",https://www.wyndhamhotels.com/super-8/wichita-kansas/super-8-wichita-south/overview?iata=00093763&cid=PS:e93nfkti5b7n6zd&gclid=Cj0KCQiA9OiPBhCOARIsAI0y71B4CaZ8h1XXZS7alcRyD2yR1ZxCuNsX0Htjm4YSCVGq5ch1JPjKAxIaAtTWEALw_wcB&gclsrc=aw.ds
BOSBG,,HOLIDAY INN EXPRESS,IHG,BOSTON,MA,HOTELKEY,Holiday Inn Express Brockton - Boston,https://www.ihg.com/holidayinnexpress/hotels/us/en/brockton/bosbg/hoteldetail
,,MOTEL 6,G6,BROCKTON,MA,,Super 8 by Wyndham Brockton,https://www.wyndhamhotels.com/super-8/brockton-massachusetts/super-8-brockton/overview?iata=99922675
,,AMERICINN,WYNDHAM,WORTHINGTON,MN,SYNXIS,"AMERICINN BY WYNDHAM WORTHINGTON, MN",https://www.wyndhamhotels.com/americinn/worthington-minnesota/americinn-lodge-and-suites-worthington/overview
8758,,MOTEL 6,G6,BLUE SPRINGS,MO,,MOTEL 6 - BLUE SPRINGS MO,https://www.motel6.com/en/home/motels.8758.html
,,LA QUINTA,WYNDHAM,HAZELWOOD,MO,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM ST. LOUIS HAZELWOOD, MO",https://www.wyndhamhotels.com/laquinta/hazelwood-missouri/la-quinta-inn-st-louis-hazelwood-airport-north/overview?iata=00093763&cid=PS:ano5ox9kmo6lqpk&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9Hexck6cTivnpzYQZhx8NxEffu0VfjstiqIeotAZ0lXc5nRmxnBQbxoCjdoQAvD_BwE&gclsrc=aw.ds
4483,,MOTEL 6,G6,KANSAS CITY AIRPORT,MO,,MOTEL 6 - KANSAS CITY AIRPORT MO,https://www.motel6.com/en/home/motels.mo.kansas-city.4483.html
MO188,,COMFORT INN,CHOICE,LEES SUMMIT,MO,CHOICEADV,"COMFORT INN & SUITES LEES SUMMIT, MO",https://www.choicehotels.com/missouri/lees-summit/comfort-inn-hotels/mo188
MO321,,COMFORT INN,CHOICE,LEES SUMMIT,MO,CHOICEADV,"COMFORT INN LEES SUMMIT, MO",https://www.choicehotels.com/missouri/lees-summit/comfort-inn-hotels/mo321
MO131,,COMFORT SUITES,CHOICE,SAINT CHARLES,MO,CHOICEADV,"COMFORT SUITES SAINT CHARLES, MO",https://www.choicehotels.com/missouri/saint-charles/comfort-suites-hotels/mo131
,,SUPER 8,WYNDHAM,SUMMIT,MO,SYNXIS,"SUPER 8 BY WYNDHAM LEES SUMMIT, MO",https://www.wyndhamhotels.com/super-8/lees-summit-missouri/super-8-lees-summit/overview?iata=00093763&cid=PS:dx29d3m6mpd1q08&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7_oJxp3kF77kmqHk0W_lnZKegBifYXIBZIpyB_1wxdj_uQ19OoiksaAuXrEALw_wcB&gclsrc=aw.ds
,,AMERICINN,WYNDHAM,KEARNEY,NE,SYNXIS,"AMERICINN BY WYNDHAM KEARNEY, NE",https://www.wyndhamhotels.com/americinn/kearney-nebraska/americinn-lodge-and-suites-kearney/overview
,,AMERICINN,WYNDHAM,OMAHA,NE,SYNXIS,"AMERICINN BY WYNDHAM OMAHA, NE",https://www.wyndhamhotels.com/americinn/omaha-nebraska/americinn-hotel-and-suites-omaha/overview
NE090,,COMFORT INN,CHOICE,OMAHA,NE,CHOICEADV,"COMFORT INN & SUITES OMAHA, NE",https://www.choicehotels.com/nebraska/omaha/comfort-inn-hotels/ne090
EWRELES,,EMBASSY SUITES,HILTON,NEWARK AIRPORT,NJ,PEP,Embassy Suites by Hilton Newark Airport,https://www.hilton.com/en/hotels/ewreles-embassy-suites-newark-airport/
EWRAS,,ALOFT,MARRIOTT,SEACAUCUS,NJ,AGILYSYS,Aloft Secaucus Meadowlands,https://www.marriott.com/en-us/hotels/ewras-aloft-secaucus-meadowlands/overview/
,,CAMBRIA,CHOICE,WEST ORANGE,NJ,CHOICEADV,Aloft Secaucus Meadowlands,https://www.cambriawestorange.com/
NY529,,COMFORT INN,CHOICE,BRONX,NY,CHOICEADV,"Comfort Inn & Suites, BRONX NY",https://www.choicehotels.com/new-york/bronx/comfort-inn-hotels/ny529
,,Pelham Garden Motel,INDEPENDENT,BRONX,NY,,"Pelham Garden Motel, BRONX NY",
,,EAST NORWICH INN,INDEPENDENT,EAST NORWICH,NY,,EAST NORWICH INN,
,,DAYS INN,WYNDHAM,LONG ISLAND,NY,SYNXIS,Days Inn by Wyndham Woodbury Long Island,https://www.wyndhamhotels.com/days-inn/woodbury-new-york/days-inn-woodbury/overview?iata=99922675
ISPCP,,HOLIDAY INN,IHG,LONG ISLAND,NY,HOTELKEY,"HOLIDAY INN (HOLTSVILLE) LONG ISLAND, NY",https://www.ihg.com/holidayinn/hotels/us/en/holtsville/ispcp/hoteldetail
,,Metro Hotel - JFK Airport,INDEPENDENT,QUEENS,NY,,"Metro Hotel - JFK Airport, QUEENS NY",
DAYTS,,TOWNEPLACE,MARRIOTT,DAYTON,OH,AGILYSYS,"TOWNEPLACE SUITES DAYTON, OH",https://www.marriott.com/hotels/travel/dayts-towneplace-suites-dayton-north/
,,LA QUINTA,WYNDHAM,MASON,OH,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM CINCINNATI NE - MASON, OH",https://www.wyndhamhotels.com/laquinta/mason-ohio/la-quinta-cincinnati-ne-mason/overview
37142,,GLō,BEST WESTERN,CATOOSA,OK,,GLō Best Western Tulsa-Catoosa East Route 66,https://www.bestwestern.com/en_US/book/hotels-in-catoosa/gl%C5%8D-best-western-tulsa-catoosa-east-route-66/propertyCode.37142.html
8648,,MOTEL 6,G6,CATOOSA,OK,,MOTEL 6 - CATOOSA OK,https://www.motel6.com/en/home/motels.8648.html
37143,,BEST WESTERN PLUS,BEST WESTERN,CHOCTAW,OK,,Best Western Plus Choctaw Inn & Suites,https://www.bestwestern.com/en_US/book/hotels-in-choctaw/best-western-plus-choctaw-inn-suites/propertyCode.37143.html
OK211,,QUALITY,CHOICE,DUNCAN,OK,CHOICEADV,"QUALITY INN DUNCAN, OK",https://www.choicehotels.com/oklahoma/duncan/quality-inn-hotels/ok211
,,SUPER 8,WYNDHAM,DUNCAN,OK,SYNXIS,"SUPER 8 BY WYNDHAM DUNCAN, OK",https://www.wyndhamhotels.com/super-8/duncan-oklahoma/super-8-duncan-ok/overview
,,LA QUINTA,WYNDHAM,DURANT,OK,SYNXIS,"LAQUINTA INN & SUITES DURANT, OK",https://www.wyndhamhotels.com/laquinta/durant-oklahoma/la-quinta-durant/overview?iata=00093763&cid=PS:7tztclxqc3byjhe&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9JxIWVJQJW7NUfB7AVHS704QAxFsB1EGLiDsSGnnfDwHF592h-L7MxoCOFcQAvD_BwE&gclsrc=aw.ds
OKCED,,FAIRFIELD,MARRIOTT,EDMOND,OK,AGILYSYS,"FAIRFIELD INN & SUITES EDMOND, OK",https://www.marriott.com/en-us/hotels/okced-fairfield-inn-and-suites-edmond/overview/
OKCEDHX,,HAMPTON,HILTON,EDMOND,OK,PEP,"HAMPTON INN EDMOND, OK",https://www.hilton.com/en/hotels/okcedhx-hampton-oklahoma-city-edmond/
,,LA QUINTA,WYNDHAM,EDMOND,OK,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM EDMOND, OK",https://www.wyndhamhotels.com/laquinta/edmond-oklahoma/la-quinta-edmond/overview
4267,,MOTEL 6,G6,EL RENO,OK,,MOTEL 6 - EL RENO OK,https://www.motel6.com/en/home/motels.ok.el-reno.4267.html
ELKCYHX,,HAMPTON,HILTON,ELK CITY,OK,PEP,"HAMPTON INN & SUITES ELK CITY, OK",https://www.hilton.com/en/hotels/elkcyhx-hampton-suites-elk-city/
ELKEO,,HOLIDAY INN EXPRESS,IHG,ELK CITY,OK,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES ELK CITY, OK",https://www.ihg.com/holidayinnexpress/hotels/us/en/elk-city/elkeo/hoteldetail
MMIOKHX,,HAMPTON,HILTON,MIAMI,OK,PEP,"HAMPTON INN MIAMI, OK",https://www.hilton.com/en/hotels/mmiokhx-hampton-miami/
37111,,BEST WESTERN PLUS,BEST WESTERN,MIDWEST CITY,OK,,Best Western Plus Midwest City Inn & Suites,https://www.bestwestern.com/en_US/book/hotels-in-midwest-city/best-western-plus-midwest-city-inn-suites/propertyCode.37111.html
OKCMW,,HOLIDAY INN EXPRESS,IHG,MIDWEST CITY,OK,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES MIDWEST CITY, OK",https://www.ihg.com/holidayinnexpress/hotels/us/en/midwest-city/okcmw/hoteldetail
,,LA QUINTA,WYNDHAM,MIDWEST CITY,OK,SYNXIS,"NLAQUINTA INN & SUITES BY WYNDHAM MIDWEST CITY - TINKER AFB, OKAME",https://www.wyndhamhotels.com/laquinta/midwest-city-oklahoma/la-quinta-midwest-city-tinker-afb/overview?iata=00093763&cid=PS:8elic7o80qrfh4d&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9Kzuk21ZBB1F7PtisAEokOgDI0NLl9P9CCAliJu8AOWrCBhCnRpgxBoCW2cQAvD_BwE&gclsrc=aw.ds
OKCNM,CANDLEWOOD-MOORE,CANDLEWOOD,IHG,MOORE,OK,HOTELKEY,"CANDLEWOOD SUITES MOORE, OK",https://www.ihg.com/candlewood/hotels/us/en/moore/okcnm/hoteldetail
OKCMOHX,,HAMPTON,HILTON,MOORE,OK,PEP,"HAMPTON INN & SUITES MOORE, OK",https://www.hilton.com/en/hotels/okcmohx-hampton-suites-moore/
OKCEM,,HOLIDAY INN EXPRESS,IHG,MOORE,OK,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES MOORE, OK",https://www.ihg.com/holidayinnexpress/hotels/us/en/moore/okcem/hoteldetail
,,LA QUINTA,WYNDHAM,MOORE,OK,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM MOORE, OK",https://www.wyndhamhotels.com/laquinta/moore-oklahoma/la-quinta-oklahoma-city-moore/overview?iata=00093763&cid=PS:4fsyypn8r139sg2&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9PPUOY0_jNs7or2JPLghl44yAy4jHBzLG9SkaPXO7ZR3yFcNlZcsPBoCX-IQAvD_BwE&gclsrc=aw.ds
OK016,,QUALITY,CHOICE,MOORE,OK,CHOICEADV,"QUALITY INN MOORE, OK",https://www.choicehotels.com/oklahoma/moore/quality-inn-hotels/ok016
OKCMO,,SPRINGHILL SUITES,MARRIOTT,MOORE,OK,AGILYSYS,"SPRINGHILL SUITES MOORE, OK",https://www.marriott.com/en-us/hotels/okcmo-springhill-suites-oklahoma-city-moore/overview/
8691,,MOTEL 6,G6,MUSKOGEE,OK,,MOTEL 6 - MUSKOGEE OK,https://www.motel6.com/en/home/motels.8691.html
OK154,,COMFORT INN,CHOICE,NORMAN,OK,CHOICEADV,"COMFORT INN & SUITES NORMAN, OK",https://choicehotels.com/oklahoma/norman/comfort-inn-hotels/ok154
,,COUNTRY INN & SUITES,RADISSON,NORMAN,OK,,"COUNTRY INN NORMAN, OK",https://www.radissonhotelsamericas.com/en-us/hotels/country-inn-norman-ok
,,DAYS INN,WYNDHAM,NORMAN,OK,SYNXIS,"DAYS INN BY WYNDHAM NORMAN, OK",https://www.wyndhamhotels.com/days-inn/norman-oklahoma/days-inn-norman-ok/overview?iata=00093763&cid=PS:i4cxh5lynmxc3id&gclid=CjwKCAiA0KmPBhBqEiwAJqKK42yzLXZyO_jEIA3sClkPmDHu4csL2EO-KmG1cKiCendWjmsZ-s3fXBoCd4EQAvD_BwE&gclsrc=aw.ds
OKCAV,,AVID,IHG,OKLAHOMA CITY,OK,HOTELKEY,"AVID QUAIL SPRINGS MALL OKLAHOMA CITY, OK",https://www.ihg.com/avidhotels/hotels/us/en/oklahoma-city/okcav/hoteldetail
,,BAYMONT,WYNDHAM,OKLAHOMA CITY,OK,SYNXIS,Baymont Inn & Suites by Wyndham Oklahoma City North,https://www.wyndhamhotels.com/baymont/oklahoma-city-oklahoma/baymont-inn-and-suites-oklahoma-city-north/overview
37112,,BEST WESTERN PLUS,BEST WESTERN,OKLAHOMA CITY,OK,,Best Western Plus Barsana Hotel & Suites,https://www.bestwestern.com/en_US/book/hotels-in-oklahoma-city/best-western-plus-barsana-hotel-suites/propertyCode.37112.html
OK147,,COMFORT INN,CHOICE,OKLAHOMA CITY,OK,CHOICEADV,"COMFORT INN & SUITES QUAIL SPRINGS OKLAHOMA CITY, OK",https://www.choicehotels.com/oklahoma/oklahoma-city/comfort-inn-hotels/ok147
OKCNQ,,COURTYARD,MARRIOTT,OKLAHOMA CITY,OK,AGILYSYS,Courtyard Oklahoma City North/Quail Springs,https://www.marriott.com/en-us/hotels/okcnq-courtyard-oklahoma-city-north-quail-springs/overview/
