site_code,live_code,brand,franchise,city,state,pms,name,brand_page
,,COUNTRY INN & SUITES,RADISSON,OKLAHOMA CITY AIRPORT,OK,,"COUNTRY INN OKC AIRPORT, OK",https://www.radissonhotelsamericas.com/en-us/hotels/country-inn-oklahoma-city-airport-ok
OKCAP,,FAIRFIELD,MARRIOTT,OKLAHOMA CITY AIRPORT,OK,AGILYSYS,FAIRFIELD INN & SUITES OKC AIRPORT,https://www.marriott.com/en-us/hotels/okcap-fairfield-inn-and-suites-oklahoma-city-airport/overview/
OKCAHGI,OKCAH,HILTON GARDEN INN,HILTON,OKLAHOMA CITY AIRPORT,OK,PEP,HILTON GARDEN INN OKC AIRPORT,https://www.hilton.com/en/hotels/okcahgi-hilton-garden-inn-oklahoma-city-airport/
OKCMD,OKCMD,HOLIDAY INN EXPRESS,IHG,OKLAHOMA CITY AIRPORT,OK,HOTELKEY,HOLIDAY INN EXPRESS & SUITES OKC AIRPORT,https://www.ihg.com/holidayinnexpress/hotels/us/en/oklahoma-city/okcmd/hoteldetail
,,LA QUINTA,WYNDHAM,OKLAHOMA CITY AIRPORT,OK,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM OKLAHOMA CITY AIRPORT, OK",https://www.wyndhamhotels.com/laquinta/oklahoma-city-oklahoma/la-quinta-oklahoma-city-airport/overview?iata=00093763&cid=PS:pq9v64k6f5nrh6h&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9NE266gqim8uEF6lVhmtkiADFciGUcGFl1grHiY9FKIHFCgsvKWZeBoCaJ0QAvD_BwE&gclsrc=aw.ds
,,RESIDENCE INN,MARRIOTT,OKLAHOMA CITY AIRPORT,OK,AGILYSYS,RESIDENCE INN OKC AIRPORT,https://www.marriott.com/hotels/travel/okcrw-residence-inn-oklahoma-city-northwest/?gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs4h3jykT-PFtVCoYvZutQzdgP4dRtrsZ5LtLOHD7F1OFg7mqFp4L44aAmabEALw_wcB&gclsrc=aw.ds
OKCAW,OKCAW,SPRINGHILL SUITES,MARRIOTT,OKLAHOMA CITY AIRPORT,OK,AGILYSYS,"SPRINGHILL SUITES MACARTHUR OKLAHOMA CITY, OK",https://www.marriott.com/en-us/hotels/okcaw-springhill-suites-oklahoma-city-airport/overview/
OKCTS,,TOWNEPLACE,MARRIOTT,OKLAHOMA CITY AIRPORT,OK,AGILYSYS,TOWNEPLACE SUITES OKC AIRPORT,https://www.marriott.com/en-us/hotels/okcts-towneplace-suites-oklahoma-city-airport/overview/
OKCJWRU,,TRU,HILTON,OKLAHOMA CITY AIRPORT,OK,PEP,TRU BY HILTON OKC AIRPORT,https://www.hilton.com/en/hotels/okcjwru-tru-oklahoma-city-airport/
OKCAM,,AVID,IHG,OKLAHOMA CITY Airport,OK,HOTELKEY,AVID OKC AIRPORT,https://www.ihg.com/avidhotels/hotels/us/en/oklahoma-city/okcam/hoteldetail
OWACW,,CANDLEWOOD,IHG,OWASSO,OK,HOTELKEY,"CANDLEWOOD SUITES OWASSO, OK",https://www.ihg.com/candlewood/hotels/us/en/owasso/owacw/hoteldetail
,,LA QUINTA,WYNDHAM,OWASSO,OK,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM OWASSO, OK",https://www.wyndhamhotels.com/laquinta/owasso-oklahoma/la-quinta-owasso/overview?iata=00093763&cid=PS:pce66p525fa12qt&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9P63R7TT5t39wrueO1BXsUdIPSoUPZWDdKparEoqTIcapy56wkzvTxoCTTIQAvD_BwE&gclsrc=aw.ds
OK131,,COMFORT INN,CHOICE,PAULS VALLEY,OK,CHOICEADV,"COMFORT INN & SUITES PAULS VALLEY, OK",https://www.choicehotels.com/oklahoma/pauls-valley/comfort-inn-hotels/ok131
,,DAYS INN,WYNDHAM,PAULS VALLEY,OK,SYNXIS,"DAYS INN BY WYNDHAM PAULS VALLEY, OK",https://www.wyndhamhotels.com/days-inn/pauls-valley-oklahoma/days-inn-pauls-valley/overview?iata=00093763&cid=PS:6htrdcg13pfzxsu&gclid=CjwKCAiA0KmPBhBqEiwAJqKK46qP6QFNFawr_DHKGtQekj6renn6hVHC7Lj_jrluDAxReZTSAmVTOxoC6GAQAvD_BwE&gclsrc=aw.ds
OKCPVHX,,HAMPTON,HILTON,PAULS VALLEY,OK,PEP,"HAMPTON INN & SUITES PAULS VALLEY, OK",https://www.hilton.com/en/hotels/okcpvhx-hampton-suites-pauls-valley/
OK137,,COMFORT INN,CHOICE,PONCA CITY,OK,CHOICEADV,"COMFORT INN & SUITES PONCA CITY, OK",https://www.choicehotels.com/oklahoma/ponca-city/comfort-inn-hotels/ok137
TULPRHX,,HAMPTON,HILTON,PRYOR,OK,PEP,"HAMPTON INN & SUITES PRYOR, OK",https://www.hilton.com/en/hotels/tulprhx-hampton-suites-pryor/
PROPR,,HOLIDAY INN EXPRESS,IHG,PRYOR,OK,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES PRYOR, OK",https://www.ihg.com/holidayinnexpress/hotels/us/en/pryor/propr/hoteldetail
,,ECONOMY INN,INDEPENDENT,SALLISAW,OK,,Economy Inn - SALLISAW OK,
OK339,,QUALITY,CHOICE,SALLISAW,OK,CHOICEADV,"QUALITY INN SALLISAW, OK",https://www.choicehotels.com/oklahoma/sallisaw/quality-inn-hotels/ok339
,,SUPER 8,WYNDHAM,SALLISAW,OK,SYNXIS,"SUPER 8 BY WYNDHAM SALLISAW, OK",https://www.wyndhamhotels.com/super-8/sallisaw-oklahoma/super-8-sallisaw/overview?iata=00093763&cid=PS:5tvh92lzmeisom0&gclid=Cj0KCQiA9OiPBhCOARIsAI0y71A46p7Y623t5hXYtx_KpNToGI6_bERAEWPGXqLjfFn0Y5W4W_2QK3IaAvHDEALw_wcB&gclsrc=aw.ds
OK158,,COMFORT INN,CHOICE,SHAWNEE,OK,CHOICEADV,"COMFORT INN & SUITES SHAWNEE, OK",https://www.choicehotels.com/oklahoma/shawnee/comfort-inn-hotels/ok158
,,DAYS INN,WYNDHAM,SHAWNEE,OK,SYNXIS,"DAYS INN BY WYNDHAM SHAWNEE, OK",https://www.wyndhamhotels.com/days-inn/shawnee-oklahoma/days-inn-shawnee/overview?iata=00093763&cid=PS:lav9fpnca5bnt89&gclid=CjwKCAiA0KmPBhBqEiwAJqKK4wNYu4QSOGqtHiaiLxQTzjBE3pGx6PazjMD8cQyUALtgwu9jF4xWCxoCKGMQAvD_BwE&gclsrc=aw.ds
,,FLEETWOOD,INDEPENDENT,SHAWNEE,OK,,Fleetwood - SHAWNEE OK,
,,LA QUINTA,WYNDHAM,SHAWNEE,OK,SYNXIS,"LAQUINTA INN & SUITES BY WYNDHAM SHAWNEE, OK",https://www.wyndhamhotels.com/laquinta/shawnee-oklahoma/la-quinta-shawnee/overview?iata=00093763&cid=PS:d2s1kpq25z3vr8r&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9INVgtZz7-bYhOebdshrFarKg0s947J1ZRLQ6n5KchsNmh541FNedxoCpSgQAvD_BwE&gclsrc=aw.ds
SWOHXHX,,HAMPTON,HILTON,STILLWATER,OK,PEP,Hampton Inn & Suites Stillwater West,https://www.hilton.com/en/hotels/swohxhx-hampton-suites-stillwater-west/
,,WYNDHAM GARDEN,WYNDHAM,STILLWATER,OK,SYNXIS,"WYNDHAM GARDEN STILLWATER, OK",https://www.wyndhamhotels.com/wyndham-garden/stillwater-oklahoma/wyndham-garden-stillwater/overview?iata=00093763&cid=PS:2hbi7pm08by07zh&gclid=Cj0KCQiA9OiPBhCOARIsAI0y71CABJzBkUHZmifuir806DPXbhDYQQ5kyoLfMBc0e8Q5KiN5LU5iZ5gaAngrEALw_wcB&gclsrc=aw.ds
TULAV,,AVID,IHG,TULSA,OK,HOTELKEY,"AVID (MEDICAL DISTRICT) SOUTH TULSA, OK",https://www.ihg.com/avidhotels/hotels/us/en/tulsa/tulav/hoteldetail
37102,,BEST WESTERN PLUS,BEST WESTERN,TULSA,OK,,Best Western Plus Tulsa Inn & Suites,https://www.bestwestern.com/en_US/book/hotels-in-tulsa/best-western-plus-tulsa-inn-suites/propertyCode.37102.html
OK254,,COMFORT INN,CHOICE,TULSA,OK,CHOICEADV,"COMFORT INN & SUITES (RT 66) TULSA, OK",https://www.choicehotels.com/oklahoma/tulsa/comfort-inn-hotels/ok254
OK238,,COMFORT INN,CHOICE,TULSA,OK,CHOICEADV,"COMFORT INN (MIDTOWN) TULSA, OK",https://www.choicehotels.com/oklahoma/tulsa/comfort-inn-hotels/ok238
TULHSHX,,HAMPTON,HILTON,TULSA,OK,PEP,"HAMPTON INN & SUITES WOODLAND HILLS MALL TULSA, OK",https://www.hilton.com/en/hotels/tulhshx-hampton-suites-tulsa-woodland-hills-71st-memorial/
TULMDGI,,HILTON GARDEN INN,HILTON,TULSA,OK,PEP,"HILTON GARDEN INN MIDTOWN TULSA, OK",https://www.hilton.com/en/hotels/tulmdgi-hilton-garden-inn-tulsa-midtown/
TULXS,,HOLIDAY INN EXPRESS,IHG,TULSA,OK,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES MIDTOWN TULSA, OK",https://www.ihg.com/holidayinnexpress/hotels/us/en/tulsa/tulxs/hoteldetail
,,LA QUINTA,WYNDHAM,TULSA,OK,SYNXIS,La Quinta Inn & Suites by Wyndham Tulsa Downtown/Route 66,https://www.wyndhamhotels.com/laquinta/tulsa-oklahoma/la-quinta-inn-and-suites-by-wyndham-tulsa-downtown-route-66/overview?CID=LC:LQ::GGL:RIO:National:56337&iata=00093796
TULBR,,RENAISSANCE,MARRIOTT,TULSA,OK,AGILYSYS,Renaissance Tulsa Hotel & Convention Center,https://www.marriott.com/en-us/hotels/tulbr-renaissance-tulsa-hotel-and-convention-center/overview/
TULTC,,RESIDENCE INN,MARRIOTT,TULSA,OK,AGILYSYS,"RESIDENCE INN MIDTOWN TULSA, OK",https://www.marriott.com/hotels/travel/tultc-residence-inn-tulsa-midtown/?gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7ZP92kcEsrIP_OlhnEP7V2L1d6J-Z8_1i4e21oq3hLFOz3IgFPRXkaAukeEALw_wcB&gclsrc=aw.ds
,,SUPER 8,WYNDHAM,TULSA,OK,SYNXIS,"SUPER 8 BY WYNDHAM TULSA, OK",https://www.wyndhamhotels.com/super-8/tulsa-oklahoma/super-8-tulsa/overview?iata=00093763&cid=PS:3g4u2y3yytv8gef&gclid=Cj0KCQiA9OiPBhCOARIsAI0y71C8C_mP2gLcwbW7PmmoWqzi7u1G5jpRgrT-Zs3y3-s9Q8GwUWuJD7YaAvW5EALw_wcB&gclsrc=aw.ds
OKCEX,,FAIRFIELD,MARRIOTT,WARR ACRES,OK,AGILYSYS,"FAIRFIELD INN & SUITES WARR ACRES, OK",https://www.marriott.com/en-us/hotels/okcex-fairfield-inn-and-suites-oklahoma-city-nw-expressway-warr-acres/overview/
OK129,,COMFORT INN,CHOICE,WEATHERFORD,OK,CHOICEADV,"COMFORT INN & SUITES WEATHERFORD, OK",https://www.choicehotels.com/oklahoma/weatherford/comfort-inn-hotels/ok129
OJAFI,,FAIRFIELD,MARRIOTT,WEATHERFORD,OK,AGILYSYS,"FAIRFIELD INN & SUITES WEATHERFORD, OK",https://www.marriott.com/hotels/travel/ojafi-fairfield-inn-and-suites-weatherford/
OKCYK,,FAIRFIELD,MARRIOTT,YUKON,OK,AGILYSYS,"FAIRFIELD INN & SUITES YUKON, OK",https://www.marriott.com/en-us/hotels/okcyk-fairfield-inn-and-suites-oklahoma-city-yukon/overview/
OKCYKHX,,HAMPTON,HILTON,YUKON,OK,PEP,"HAMPTON INN YUKON, OK",https://www.hilton.com/en/hotels/okcykhx-hampton-oklahoma-city-yukon/
AUSNL,,COURTYARD,MARRIOTT,AUSTIN,TX,AGILYSYS,"COURTYARD AUSTIN, TX NORTHWEST/LAKELINE",https://www.marriott.com/hotels/travel/ausnl-courtyard-austin-northwest-lakeline/
TXE32,,COMFORT SUITES,CHOICE,BASTROP,TX,CHOICEADV,"COMFORT SUITES BASTROP, TX",https://www.choicehotels.com/texas/bastrop/comfort-suites-hotels/txe32
44689,,BEST WESTERN PLUS,BEST WESTERN,GEORGETOWN,TX,,Best Western Plus Georgetown Inn & Suites,https://www.bestwestern.com/en_US/book/hotels-in-georgetown/best-western-plus-georgetown-inn-suites/propertyCode.44689.html
TX819,,COMFORT SUITES,CHOICE,GEORGETOWN,TX,CHOICEADV,"COMFORT SUITES GEORGETOWN, TX",https://www.choicehotels.com/texas/georgetown/comfort-suites-hotels/tx819
TXI15,,QUALITY,CHOICE,HARLINGEN,TX,CHOICEADV,NAME,https://www.choicehotels.com/texas/harlingen/quality-inn-hotels/txi15
DALDM,,TOWNEPLACE,MARRIOTT,MCKINNEY,TX,AGILYSYS,"TOWNEPLACE SUITES MCKINNEY, TX",https://www.marriott.com/hotels/travel/daldm-towneplace-suites-dallas-mckinney/?gclid=Cj0KCQiA9OiPBhCOARIsAI0y71BUxWXu2UbSb1NKbpqQKJyM_993nmwmbpQJwWfbBSsAuJiO6I2JhxMaAs4YEALw_wcB&gclsrc=aw.ds
,,DAYS INN,WYNDHAM,SALADO,TX,SYNXIS,"DAYS INN BY WYNDHAM SALADO, TX",https://www.wyndhamhotels.com/days-inn/salado-texas/days-inn-salado/overview?iata=00093763&cid=PS:tsby1kjzdgwaqhx&gclid=CjwKCAiA0KmPBhBqEiwAJqKK43AFQzyIb-fFlQ94nd1v1xIxO2EElUiz8n9rJRXtYzkPFwmITDW7kxoCP8AQAvD_BwE&gclsrc=aw.ds
LLOTX,,HOLIDAY INN EXPRESS,IHG,SALADO,TX,HOTELKEY,"HOLIDAY INN EXPRESS SALADO, TX",https://www.ihg.com/holidayinnexpress/hotels/us/en/salado/llotx/hoteldetail
TXA49,,COMFORT INN,CHOICE,SAN ANTONIO,TX,CHOICEADV,"COMFORT INN & SUITES (NEAR MEDICAL CENTER) SAN ANTONIO, TX",https://www.choicehotels.com/texas/san-antonio/comfort-inn-hotels/txa49
SATFN,,FAIRFIELD,MARRIOTT,SAN ANTONIO,TX,AGILYSYS,"FAIRFIELD INN & SUITES NORTH STONE OAK SAN ANTONIO, TX",https://www.marriott.com/hotels/travel/satfn-fairfield-inn-and-suites-san-antonio-north-stone-oak/
SATSE,,FAIRFIELD,MARRIOTT,SAN ANTONIO,TX,AGILYSYS,"FAIRFIELD INN BROOKS BASE SAN ANTONIO, TX",https://www.marriott.com/hotels/travel/satse-fairfield-inn-and-suites-san-antonio-brooks-city-base/
SATRG,,HOLIDAY INN EXPRESS,IHG,SAN ANTONIO,TX,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES (BY AT&T CENTER) SAN ANTONIO, TX",https://www.ihg.com/holidayinnexpress/hotels/us/en/san-antonio/satrg/hoteldetail
,,LA QUINTA,WYNDHAM,SAN ANTONIO,TX,SYNXIS,La Quinta Inn & Suites by Wyndham San Antonio Seaworld/LAFB,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-inn-and-suites-san-antonio-seaworld-lafb/overview?iata=99922675
,,SUPER 8,WYNDHAM,SAN ANTONIO,TX,SYNXIS,"SUPER 8 SAN ANTONIO / ALAMODOME AREA, TX",https://www.wyndhamhotels.com/super-8/san-antonio-texas/super-8-san-antonio-alamodome-area/overview?iata=00580881
TXE27,,COMFORT INN,CHOICE,SAN MARCOS,TX,CHOICEADV,"COMFORT INN & SUITES SAN MARCOS, TX",https://www.choicehotels.com/texas/san-marcos/comfort-inn-hotels/txe27
TXE81,TXI47,COMFORT INN,CHOICE,WICHITA FALLS,TX,CHOICEADV,"COMFORT INN WICHITA FALLS, TX",https://www.choicehotels.com/texas/wichita-falls/comfort-inn-hotels/txe81
SPSKB,,HOLIDAY INN EXPRESS,IHG,WICHITA FALLS,TX,HOTELKEY,"HOLIDAY INN EXPRESS WICHITA, TX",https://www.ihg.com/holidayinnexpress/hotels/us/en/wichita-falls/spskb/hoteldetail
